complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Assigned Pothole because the description says ""pothole""; priority is Standard because no urgent severity keyword is present.",
PM-202402,Pothole,Urgent,"Assigned Pothole because the description says ""pothole""; priority is Urgent because it includes severity words ""School"".",
PM-202406,Flooding,Standard,"Assigned Flooding because the description says ""flood"", ""flooded""; priority is Standard because no urgent severity keyword is present.",
PM-202408,Flooding,Standard,"Assigned Flooding because the description says ""flood"", ""flooded""; priority is Standard because no urgent severity keyword is present.",
PM-202410,Streetlight,Standard,"Assigned Streetlight because the description says ""streetlights"", ""dark""; priority is Standard because no urgent severity keyword is present.",
PM-202411,Streetlight,Urgent,"Assigned Streetlight because the description says ""Streetlight"", ""flickering""; priority is Urgent because it includes severity words ""hazard"".",
PM-202413,Waste,Standard,"Assigned Waste because the description says ""garbage"", ""Overflowing""; priority is Standard because no urgent severity keyword is present.",
PM-202418,Noise,Standard,"Assigned Noise because the description says ""music"", ""playing""; priority is Standard because no urgent severity keyword is present.",
PM-202419,Road Damage,Standard,"Assigned Road Damage because the description says ""Road surface"", ""cracked""; priority is Standard because no urgent severity keyword is present.",
PM-202420,Road Damage,Urgent,"Assigned Road Damage because the description says ""manhole cover missing""; priority is Urgent because it includes severity words ""injury"".",
PM-202427,Flooding,Standard,"Assigned Flooding because the description says ""flood"", ""floods""; priority is Standard because no urgent severity keyword is present.",
PM-202428,Waste,Standard,"Assigned Waste because the description says ""Dead animal""; priority is Standard because no urgent severity keyword is present.",
PM-202430,Streetlight,Standard,"Assigned Streetlight because the description says ""lights out""; priority is Standard because no urgent severity keyword is present.",
PM-202433,Waste,Standard,"Assigned Waste because the description says ""waste""; priority is Standard because no urgent severity keyword is present.",
PM-202446,Road Damage,Urgent,"Assigned Road Damage because the description says ""broken"", ""upturned""; priority is Urgent because it includes severity words ""fell"".",
